term	FBbt	reference
AL-AST1	FBbt:00047928	
AL-MBDL1	FBbt:00047933	
AMMC-A1	FBbt:00110183	
AOTU001	FBbt:20000000	
AOTU002	FBbt:20000001	
AOTU003	FBbt:20000002	
AOTU004	FBbt:20000003	
AOTU005	FBbt:20000004	
AOTU006	FBbt:20000005	
AOTU007	FBbt:20000006	
AOTU008	FBbt:20000007	
AOTU009	FBbt:20000008	
AOTU010	FBbt:20000009	
AOTU011	FBbt:20000010	
AOTU012	FBbt:20000011	
AOTU013	FBbt:20000012	
AOTU014	FBbt:20000013	
AOTU015	FBbt:20000014	
AOTU016	FBbt:20000015	
AOTU017	FBbt:20000016	
AOTU018	FBbt:20000017	
AOTU019	FBbt:20000018	
AOTU020	FBbt:20000019	
AOTU021	FBbt:20000020	
AOTU022	FBbt:20000021	
AOTU023	FBbt:20000022	
AOTU024	FBbt:20000023	
AOTU025	FBbt:20000024	
AOTU026	FBbt:20000025	
AOTU027	FBbt:20000026	
AOTU028	FBbt:20000027	
AOTU029	FBbt:20000028	
AOTU030	FBbt:20000029	
AOTU031	FBbt:20000030	
AOTU032	FBbt:20000031	
AOTU033	FBbt:20000032	
AOTU034	FBbt:20000033	
AOTU035	FBbt:20000034	
AOTU036	FBbt:20000035	
AOTU037	FBbt:20000036	
AOTU038	FBbt:20000037	
AOTU039	FBbt:20000038	
AOTU040	FBbt:20000039	
AOTU041	FBbt:20000040	
AOTU042	FBbt:20000041	
AOTU043	FBbt:20000042	
AOTU044	FBbt:20000043	
AOTU045	FBbt:20000044	
AOTU046	FBbt:20000045	
AOTU047	FBbt:20000046	
AOTU048	FBbt:20000047	
AOTU049	FBbt:20000048	
AOTU050	FBbt:20000049	
AOTU051	FBbt:20000050	
AOTU052	FBbt:20000051	
AOTU053	FBbt:20000052	
AOTU054	FBbt:20000053	
AOTU055	FBbt:20000054	
AOTU056	FBbt:20000055	
AOTU057	FBbt:20000056	
AOTU058	FBbt:20000057	
AOTU059	FBbt:20000058	
AOTU060	FBbt:20000059	
AOTU061	FBbt:20000060	
AOTU062	FBbt:20000061	
AOTU063	FBbt:20000062	
AOTU064	FBbt:20000063	
AOTU065	FBbt:20000064	
APL	FBbt:00100222	
ATL001	FBbt:20000065	
ATL002	FBbt:20000066	
ATL003	FBbt:20000067	
ATL004	FBbt:20000068	
ATL005	FBbt:20000069	
ATL006	FBbt:20000070	
ATL007	FBbt:20000071	
ATL008	FBbt:20000072	
ATL009	FBbt:20000073	
ATL010	FBbt:20000074	
ATL011	FBbt:20000075	
ATL012	FBbt:20000076	
ATL013	FBbt:20000077	
ATL014	FBbt:20000078	
ATL015	FBbt:20000079	
ATL016	FBbt:20000080	
ATL017	FBbt:20000081	
ATL018	FBbt:20000082	
ATL019	FBbt:20000083	
ATL020	FBbt:20000084	
ATL021	FBbt:20000085	
ATL022	FBbt:20000086	
ATL023	FBbt:20000087	
ATL024	FBbt:20000088	
ATL025	FBbt:20000089	
ATL026	FBbt:20000090	
ATL027	FBbt:20000091	
ATL028	FBbt:20000092	
ATL029	FBbt:20000093	
ATL030	FBbt:20000094	
ATL031	FBbt:20000095	
ATL032	FBbt:20000096	
ATL033	FBbt:20000097	
ATL034	FBbt:20000098	
ATL035	FBbt:20000099	
ATL036	FBbt:20000100	
ATL037	FBbt:20000101	
ATL038	FBbt:20000102	
ATL039	FBbt:20000103	
ATL040	FBbt:20000104	
ATL041	FBbt:20000105	
ATL042	FBbt:20000106	
ATL043	FBbt:20000107	
ATL044	FBbt:20000108	
ATL045	FBbt:20000109	
AVLP001	FBbt:20000110	
AVLP002	FBbt:20000111	
AVLP003	FBbt:20000112	
AVLP004	FBbt:20000113	
AVLP005	FBbt:20000114	
AVLP006	FBbt:20000115	
AVLP007	FBbt:20000116	
AVLP008	FBbt:20000117	
AVLP009	FBbt:20000118	
AVLP010	FBbt:20000119	
AVLP011	FBbt:20000120	
AVLP012	FBbt:20000121	
AVLP013	FBbt:20000122	
AVLP014	FBbt:20000123	
AVLP015	FBbt:20000124	
AVLP016	FBbt:20000125	
AVLP017	FBbt:20000126	
AVLP018	FBbt:20000127	
AVLP019	FBbt:20000128	
AVLP020	FBbt:20000129	
AVLP021	FBbt:20000130	
AVLP022	FBbt:20000131	
AVLP023	FBbt:20000132	
AVLP024	FBbt:20000133	
AVLP025	FBbt:20000134	
AVLP026	FBbt:20000135	
AVLP027	FBbt:20000136	
AVLP028	FBbt:20000137	
AVLP029	FBbt:20000138	
AVLP030	FBbt:20000139	
AVLP031	FBbt:20000140	
AVLP032	FBbt:20000141	
AVLP033	FBbt:20000142	
AVLP034	FBbt:20000143	
AVLP035	FBbt:20000144	
AVLP036	FBbt:20000145	
AVLP037	FBbt:20000146	
AVLP038	FBbt:20000147	
AVLP039	FBbt:20000148	
AVLP040	FBbt:20000149	
AVLP041	FBbt:20000150	
AVLP042	FBbt:20000151	
AVLP043	FBbt:20000152	
AVLP044	FBbt:20000153	
AVLP045	FBbt:20000154	
AVLP046	FBbt:20000155	
AVLP047	FBbt:20000156	
AVLP048	FBbt:20000157	
AVLP049	FBbt:20000158	
AVLP050	FBbt:20000159	
AVLP051	FBbt:20000160	
AVLP052	FBbt:20000161	
AVLP053	FBbt:20000162	
AVLP054	FBbt:20000163	
AVLP055	FBbt:20000164	
AVLP056	FBbt:20000165	
AVLP057	FBbt:20000166	
AVLP058	FBbt:20000167	
AVLP059	FBbt:20000168	
AVLP060	FBbt:20000169	
AVLP061	FBbt:20000170	
AVLP062	FBbt:20000171	
AVLP063	FBbt:20000172	
AVLP064	FBbt:20000173	
AVLP065	FBbt:20000174	
AVLP066	FBbt:20000175	
AVLP067	FBbt:20000176	
AVLP068	FBbt:20000177	
AVLP069	FBbt:20000178	
AVLP070	FBbt:20000179	
AVLP071	FBbt:20000180	
AVLP072	FBbt:20000181	
AVLP073	FBbt:20000182	
AVLP074	FBbt:20000183	
AVLP075	FBbt:20000184	
AVLP076	FBbt:20000185	
AVLP077	FBbt:20000186	
AVLP078	FBbt:20000187	
AVLP079	FBbt:20000188	
AVLP080	FBbt:20000189	
AVLP081	FBbt:20000190	
AVLP082	FBbt:20000191	
AVLP083	FBbt:20000192	
AVLP084	FBbt:20000193	
AVLP085	FBbt:20000194	
AVLP086	FBbt:20000195	
AVLP087	FBbt:20000196	
AVLP088	FBbt:20000197	
AVLP089	FBbt:20000198	
AVLP090	FBbt:20000199	
AVLP091	FBbt:20000200	
AVLP092	FBbt:20000201	
AVLP093	FBbt:20000202	
AVLP094	FBbt:20000203	
AVLP095	FBbt:20000204	
AVLP096	FBbt:20000205	
AVLP097	FBbt:20000206	
AVLP098	FBbt:20000207	
AVLP099	FBbt:20000208	
AVLP100	FBbt:20000209	
AVLP101	FBbt:20000210	
AVLP102	FBbt:20000211	
AVLP103	FBbt:20000212	
AVLP104	FBbt:20000213	
AVLP105	FBbt:20000214	
AVLP106	FBbt:20000215	
AVLP107	FBbt:20000216	
AVLP108	FBbt:20000217	
AVLP109	FBbt:20000218	
AVLP110	FBbt:20000219	
AVLP111	FBbt:20000220	
AVLP112	FBbt:20000221	
AVLP113	FBbt:20000222	
AVLP114	FBbt:20000223	
AVLP115	FBbt:20000224	
AVLP116	FBbt:20000225	
AVLP117	FBbt:20000226	
AVLP118	FBbt:20000227	
AVLP119	FBbt:20000228	
AVLP120	FBbt:20000229	
AVLP121	FBbt:20000230	
AVLP122	FBbt:20000231	
AVLP123	FBbt:20000232	
AVLP124	FBbt:20000233	
AVLP125	FBbt:20000234	
AVLP126	FBbt:20000235	
AVLP127	FBbt:20000236	
AVLP128	FBbt:20000237	
AVLP129	FBbt:20000238	
AVLP130	FBbt:20000239	
AVLP131	FBbt:20000240	
AVLP132	FBbt:20000241	
AVLP133	FBbt:20000242	
AVLP134	FBbt:20000243	
AVLP135	FBbt:20000244	
AVLP136	FBbt:20000245	
AVLP137	FBbt:20000246	
AVLP138	FBbt:20000247	
AVLP139	FBbt:20000248	
AVLP140	FBbt:20000249	
AVLP141	FBbt:20000250	
AVLP142	FBbt:20000251	
AVLP143	FBbt:20000252	
AVLP144	FBbt:20000253	
AVLP145	FBbt:20000254	
AVLP146	FBbt:20000255	
AVLP147	FBbt:20000256	
AVLP148	FBbt:20000257	
AVLP149	FBbt:20000258	
AVLP150	FBbt:20000259	
AVLP151	FBbt:20000260	
AVLP152	FBbt:20000261	
AVLP153	FBbt:20000262	
AVLP154	FBbt:20000263	
AVLP155	FBbt:20000264	
AVLP156	FBbt:20000265	
AVLP157	FBbt:20000266	
AVLP158	FBbt:20000267	
AVLP159	FBbt:20000268	
AVLP160	FBbt:20000269	
AVLP161	FBbt:20000270	
AVLP162	FBbt:20000271	
AVLP163	FBbt:20000272	
AVLP164	FBbt:20000273	
AVLP165	FBbt:20000274	
AVLP166	FBbt:20000275	
AVLP167	FBbt:20000276	
AVLP168	FBbt:20000277	
AVLP169	FBbt:20000278	
AVLP170	FBbt:20000279	
AVLP171	FBbt:20000280	
AVLP172	FBbt:20000281	
AVLP173	FBbt:20000282	
AVLP174	FBbt:20000283	
AVLP175	FBbt:20000284	
AVLP176	FBbt:20000285	
AVLP177	FBbt:20000286	
AVLP178	FBbt:20000287	
AVLP179	FBbt:20000288	
AVLP180	FBbt:20000289	
AVLP181	FBbt:20000290	
AVLP182	FBbt:20000291	
AVLP183	FBbt:20000292	
AVLP184	FBbt:20000293	
AVLP185	FBbt:20000294	
AVLP186	FBbt:20000295	
AVLP187	FBbt:20000296	
AVLP188	FBbt:20000297	
AVLP189	FBbt:20000298	
AVLP190	FBbt:20000299	
AVLP191	FBbt:20000300	
AVLP192	FBbt:20000301	
AVLP193	FBbt:20000302	
AVLP194	FBbt:20000303	
AVLP195	FBbt:20000304	
AVLP196	FBbt:20000305	
AVLP197	FBbt:20000306	
AVLP198	FBbt:20000307	
AVLP199	FBbt:20000308	
AVLP200	FBbt:20000309	
AVLP201	FBbt:20000310	
AVLP202	FBbt:20000311	
AVLP203	FBbt:20000312	
AVLP204	FBbt:20000313	
AVLP205	FBbt:20000314	
AVLP206	FBbt:20000315	
AVLP207	FBbt:20000316	
AVLP208	FBbt:20000317	
AVLP209	FBbt:20000318	
AVLP210	FBbt:20000319	
AVLP211	FBbt:20000320	
AVLP212	FBbt:20000321	
AVLP213	FBbt:20000322	
AVLP214	FBbt:20000323	
AVLP215	FBbt:20000324	
AVLP216	FBbt:20000325	
AVLP217	FBbt:20000326	
AVLP218	FBbt:20000327	
AVLP219	FBbt:20000328	
AVLP220	FBbt:20000329	
AVLP221	FBbt:20000330	
AVLP222	FBbt:20000331	
AVLP223	FBbt:20000332	
AVLP224	FBbt:20000333	
AVLP225	FBbt:20000334	
AVLP226	FBbt:20000335	
AVLP227	FBbt:20000336	
AVLP228	FBbt:20000337	
AVLP229	FBbt:20000338	
AVLP230	FBbt:20000339	
AVLP231	FBbt:20000340	
AVLP232	FBbt:20000341	
AVLP233	FBbt:20000342	
AVLP234	FBbt:20000343	
AVLP235	FBbt:20000344	
AVLP236	FBbt:20000345	
AVLP237	FBbt:20000346	
AVLP238	FBbt:20000347	
AVLP239	FBbt:20000348	
AVLP240	FBbt:20000349	
AVLP241	FBbt:20000350	
AVLP242	FBbt:20000351	
AVLP243	FBbt:20000352	
AVLP244	FBbt:20000353	
AVLP245	FBbt:20000354	
AVLP246	FBbt:20000355	
AVLP247	FBbt:20000356	
AVLP248	FBbt:20000357	
AVLP249	FBbt:20000358	
AVLP250	FBbt:20000359	
AVLP251	FBbt:20000360	
AVLP252	FBbt:20000361	
AVLP253	FBbt:20000362	
AVLP254	FBbt:20000363	
AVLP255	FBbt:20000364	
AVLP256	FBbt:20000365	
AVLP257	FBbt:20000366	
AVLP258	FBbt:20000367	
AVLP259	FBbt:20000368	
AVLP260	FBbt:20000369	
AVLP261	FBbt:20000370	
AVLP262	FBbt:20000371	
AVLP263	FBbt:20000372	
AVLP264	FBbt:20000373	
AVLP265	FBbt:20000374	
AVLP266	FBbt:20000375	
AVLP267	FBbt:20000376	
AVLP268	FBbt:20000377	
AVLP269	FBbt:20000378	
AVLP270	FBbt:20000379	
AVLP271	FBbt:20000380	
AVLP272	FBbt:20000381	
AVLP273	FBbt:20000382	
AVLP274	FBbt:20000383	
AVLP275	FBbt:20000384	
AVLP276	FBbt:20000385	
AVLP277	FBbt:20000386	
AVLP278	FBbt:20000387	
AVLP279	FBbt:20000388	
AVLP280	FBbt:20000389	
AVLP281	FBbt:20000390	
AVLP282	FBbt:20000391	
AVLP283	FBbt:20000392	
AVLP284	FBbt:20000393	
AVLP285	FBbt:20000394	
AVLP286	FBbt:20000395	
AVLP287	FBbt:20000396	
AVLP288	FBbt:20000397	
AVLP289	FBbt:20000398	
AVLP290	FBbt:20000399	
AVLP291	FBbt:20000400	
AVLP292	FBbt:20000401	
AVLP293	FBbt:20000402	
AVLP294	FBbt:20000403	
AVLP295	FBbt:20000404	
AVLP296	FBbt:20000405	
AVLP297	FBbt:20000406	
AVLP298	FBbt:20000407	
AVLP299	FBbt:20000408	
AVLP300	FBbt:20000409	
AVLP301	FBbt:20000410	
AVLP302	FBbt:20000411	
AVLP303	FBbt:20000412	
AVLP304	FBbt:20000413	
AVLP305	FBbt:20000414	
AVLP306	FBbt:20000415	
AVLP307	FBbt:20000416	
AVLP308	FBbt:20000417	
AVLP309	FBbt:20000418	
AVLP310	FBbt:20000419	
AVLP311	FBbt:20000420	
AVLP312	FBbt:20000421	
AVLP313	FBbt:20000422	
AVLP314	FBbt:20000423	
AVLP315	FBbt:20000424	
AVLP316	FBbt:20000425	
AVLP317	FBbt:20000426	
AVLP318	FBbt:20000427	
AVLP319	FBbt:20000428	
AVLP320	FBbt:20000429	
AVLP321	FBbt:20000430	
AVLP322	FBbt:20000431	
AVLP323	FBbt:20000432	
AVLP324	FBbt:20000433	
AVLP325	FBbt:20000434	
AVLP326	FBbt:20000435	
AVLP327	FBbt:20000436	
AVLP328	FBbt:20000437	
AVLP329	FBbt:20000438	
AVLP330	FBbt:20000439	
AVLP331	FBbt:20000440	
AVLP332	FBbt:20000441	
AVLP333	FBbt:20000442	
AVLP334	FBbt:20000443	
AVLP335	FBbt:20000444	
AVLP336	FBbt:20000445	
AVLP337	FBbt:20000446	
AVLP338	FBbt:20000447	
AVLP339	FBbt:20000448	
AVLP340	FBbt:20000449	
AVLP341	FBbt:20000450	
AVLP342	FBbt:20000451	
AVLP343	FBbt:20000452	
AVLP344	FBbt:20000453	
AVLP345	FBbt:20000454	
AVLP346	FBbt:20000455	
AVLP347	FBbt:20000456	
AVLP348	FBbt:20000457	
AVLP349	FBbt:20000458	
AVLP350	FBbt:20000459	
AVLP351	FBbt:20000460	
AVLP352	FBbt:20000461	
AVLP353	FBbt:20000462	
AVLP354	FBbt:20000463	
AVLP355	FBbt:20000464	
AVLP356	FBbt:20000465	
AVLP357	FBbt:20000466	
AVLP358	FBbt:20000467	
AVLP359	FBbt:20000468	
AVLP360	FBbt:20000469	
AVLP361	FBbt:20000470	
AVLP362	FBbt:20000471	
AVLP363	FBbt:20000472	
AVLP364	FBbt:20000473	
AVLP365	FBbt:20000474	
AVLP366	FBbt:20000475	
AVLP367	FBbt:20000476	
AVLP368	FBbt:20000477	
AVLP369	FBbt:20000478	
AVLP370	FBbt:20000479	
AVLP371	FBbt:20000480	
AVLP372	FBbt:20000481	
AVLP373	FBbt:20000482	
AVLP374	FBbt:20000483	
AVLP375	FBbt:20000484	
AVLP376	FBbt:20000485	
AVLP377	FBbt:20000486	
AVLP378	FBbt:20000487	
AVLP379	FBbt:20000488	
AVLP380	FBbt:20000489	
AVLP381	FBbt:20000490	
AVLP382	FBbt:20000491	
AVLP383	FBbt:20000492	
AVLP384	FBbt:20000493	
AVLP385	FBbt:20000494	
AVLP386	FBbt:20000495	
AVLP387	FBbt:20000496	
AVLP388	FBbt:20000497	
AVLP389	FBbt:20000498	
AVLP390	FBbt:20000499	
AVLP391	FBbt:20000500	
AVLP392	FBbt:20000501	
AVLP393	FBbt:20000502	
AVLP394	FBbt:20000503	
AVLP395	FBbt:20000504	
AVLP396	FBbt:20000505	
AVLP397	FBbt:20000506	
AVLP398	FBbt:20000507	
AVLP399	FBbt:20000508	
AVLP400	FBbt:20000509	
AVLP401	FBbt:20000510	
AVLP402	FBbt:20000511	
AVLP403	FBbt:20000512	
AVLP404	FBbt:20000513	
AVLP405	FBbt:20000514	
AVLP406	FBbt:20000515	
AVLP407	FBbt:20000516	
AVLP408	FBbt:20000517	
AVLP409	FBbt:20000518	
AVLP410	FBbt:20000519	
AVLP411	FBbt:20000520	
AVLP412	FBbt:20000521	
AVLP413	FBbt:20000522	
AVLP414	FBbt:20000523	
AVLP415	FBbt:20000524	
AVLP416	FBbt:20000525	
AVLP417	FBbt:20000526	
AVLP418	FBbt:20000527	
AVLP419	FBbt:20000528	
AVLP420	FBbt:20000529	
AVLP421	FBbt:20000530	
AVLP422	FBbt:20000531	
AVLP423	FBbt:20000532	
AVLP424	FBbt:20000533	
AVLP425	FBbt:20000534	
AVLP426	FBbt:20000535	
AVLP427	FBbt:20000536	
AVLP428	FBbt:20000537	
AVLP429	FBbt:20000538	
AVLP430	FBbt:20000539	
AVLP431	FBbt:20000540	
AVLP432	FBbt:20000541	
AVLP433	FBbt:20000542	
AVLP434	FBbt:20000543	
AVLP435	FBbt:20000544	
AVLP436	FBbt:20000545	
AVLP437	FBbt:20000546	
AVLP438	FBbt:20000547	
AVLP439	FBbt:20000548	
AVLP440	FBbt:20000549	
AVLP441	FBbt:20000550	
AVLP442	FBbt:20000551	
AVLP443	FBbt:20000552	
AVLP444	FBbt:20000553	
AVLP445	FBbt:20000554	
AVLP446	FBbt:20000555	
AVLP447	FBbt:20000556	
AVLP448	FBbt:20000557	
AVLP449	FBbt:20000558	
AVLP450	FBbt:20000559	
AVLP451	FBbt:20000560	
AVLP452	FBbt:20000561	
AVLP453	FBbt:20000562	
AVLP454	FBbt:20000563	
AVLP455	FBbt:20000564	
AVLP456	FBbt:20000565	
AVLP457	FBbt:20000566	
AVLP458	FBbt:20000567	
AVLP459	FBbt:20000568	
AVLP460	FBbt:20000569	
AVLP461	FBbt:20000570	
AVLP462	FBbt:20000571	
AVLP463	FBbt:20000572	
AVLP464	FBbt:20000573	
AVLP465	FBbt:20000574	
AVLP466	FBbt:20000575	
AVLP467	FBbt:20000576	
AVLP468	FBbt:20000577	
AVLP469	FBbt:20000578	
AVLP470	FBbt:20000579	
AVLP471	FBbt:20000580	
AVLP472	FBbt:20000581	
AVLP473	FBbt:20000582	
AVLP474	FBbt:20000583	
AVLP475	FBbt:20000584	
AVLP476	FBbt:20000585	
AVLP477	FBbt:20000586	
AVLP478	FBbt:20000587	
AVLP479	FBbt:20000588	
AVLP480	FBbt:20000589	
AVLP481	FBbt:20000590	
AVLP482	FBbt:20000591	
AVLP483	FBbt:20000592	
AVLP484	FBbt:20000593	
AVLP485	FBbt:20000594	
AVLP486	FBbt:20000595	
AVLP487	FBbt:20000596	
AVLP488	FBbt:20000597	
AVLP489	FBbt:20000598	
AVLP490	FBbt:20000599	
AVLP491	FBbt:20000600	
AVLP492	FBbt:20000601	
AVLP493	FBbt:20000602	
AVLP494	FBbt:20000603	
AVLP495	FBbt:20000604	
AVLP496	FBbt:20000605	
AVLP497	FBbt:20000606	
AVLP498	FBbt:20000607	
AVLP499	FBbt:20000608	
AVLP500	FBbt:20000609	
AVLP501	FBbt:20000610	
AVLP502	FBbt:20000611	
AVLP503	FBbt:20000612	
AVLP504	FBbt:20000613	
AVLP505	FBbt:20000614	
AVLP506	FBbt:20000615	
AVLP507	FBbt:20000616	
AVLP508	FBbt:20000617	
AVLP509	FBbt:20000618	
AVLP510	FBbt:20000619	
AVLP511	FBbt:20000620	
AVLP512	FBbt:20000621	
AVLP513	FBbt:20000622	
AVLP514	FBbt:20000623	
AVLP515	FBbt:20000624	
AVLP516	FBbt:20000625	
AVLP517	FBbt:20000626	
AVLP518	FBbt:20000627	
AVLP519	FBbt:20000628	
AVLP520	FBbt:20000629	
AVLP521	FBbt:20000630	
AVLP522	FBbt:20000631	
AVLP523	FBbt:20000632	
AVLP524	FBbt:20000633	
AVLP525	FBbt:20000634	
AVLP526	FBbt:20000635	
AVLP527	FBbt:20000636	
AVLP528	FBbt:20000637	
AVLP529	FBbt:20000638	
AVLP530	FBbt:20000639	
AVLP531	FBbt:20000640	
AVLP532	FBbt:20000641	
AVLP533	FBbt:20000642	
AVLP534	FBbt:20000643	
AVLP535	FBbt:20000644	
AVLP536	FBbt:20000645	
AVLP537	FBbt:20000646	
AVLP538	FBbt:20000647	
AVLP539	FBbt:20000648	
AVLP540	FBbt:20000649	
AVLP541	FBbt:20000650	
AVLP542	FBbt:20000651	
AVLP543	FBbt:20000652	
AVLP544	FBbt:20000653	
AVLP545	FBbt:20000654	
AVLP546	FBbt:20000655	
AVLP547	FBbt:20000656	
AVLP548	FBbt:20000657	
AVLP549	FBbt:20000658	
AVLP550	FBbt:20000659	
AVLP551	FBbt:20000660	
AVLP552	FBbt:20000661	
AVLP553	FBbt:20000662	
AVLP554	FBbt:20000663	
AVLP555	FBbt:20000664	
AVLP556	FBbt:20000665	
AVLP557	FBbt:20000666	
AVLP558	FBbt:20000667	
AVLP559	FBbt:20000668	
AVLP560	FBbt:20000669	
AVLP561	FBbt:20000670	
AVLP562	FBbt:20000671	
AVLP563	FBbt:20000672	
AVLP564	FBbt:20000673	
AVLP565	FBbt:20000674	
AVLP566	FBbt:20000675	
AVLP567	FBbt:20000676	
AVLP568	FBbt:20000677	
AVLP569	FBbt:20000678	
AVLP570	FBbt:20000679	
AVLP571	FBbt:20000680	
AVLP572	FBbt:20000681	
AVLP573	FBbt:20000682	
AVLP574	FBbt:20000683	
AVLP575	FBbt:20000684	
AVLP576	FBbt:20000685	
AVLP577	FBbt:20000686	
AVLP578	FBbt:20000687	
AVLP579	FBbt:20000688	
AVLP580	FBbt:20000689	
AVLP581	FBbt:20000690	
AVLP582	FBbt:20000691	
AVLP583	FBbt:20000692	
AVLP584	FBbt:20000693	
AVLP585	FBbt:20000694	
AVLP586	FBbt:20000695	
AVLP587	FBbt:20000696	
AVLP588	FBbt:20000697	
AVLP589	FBbt:20000698	
AVLP590	FBbt:20000699	
AVLP591	FBbt:20000700	
AVLP592	FBbt:20000701	
AVLP593	FBbt:20000702	
AVLP594	FBbt:20000703	
AVLP595	FBbt:20000704	
AVLP596	FBbt:20000705	
CL001	FBbt:20000706	
CL002	FBbt:20000707	
CL003	FBbt:20000708	
CL004	FBbt:20000709	
